Input image,Inclusive mask,Exclusive mask,LI (overall),LI (SD),LI (min),LI (max),LI_T25 (overall),LI_T25 (SD),wm_LI,wm_lowCI,wm_highCI,Variance Weighting,Clustering,Source path,Lower threshold,Bootstrap sample (percent),Sample size: Minimum,Sample size: Maximum
"BAN01__WG_tstat1.nii,1",LI-frontal-mask,none,0.45,0.3,0.088,0.94,0.4,0.17,0.52,0.15,0.93,no,no,/Volumes/Extreme_Pro/LI_analysis/WG,0,33.3333,5,10000
"BAN02__WG_tstat1.nii,1",LI-frontal-mask,none,-0.39,0.2,-0.67,-0.11,-0.39,0.14,-0.41,-0.67,-0.17,no,no,/Volumes/Extreme_Pro/LI_analysis/WG,0,27.7778,5,10000
"BAN03__WG_tstat1.nii,1",LI-frontal-mask,none,0.7,0.2,0.34,0.97,0.73,0.11,0.68,0.5,0.96,no,no,/Volumes/Extreme_Pro/LI_analysis/WG,0,83.3333,5,10000
"BAN04__WG_tstat1.nii,1",LI-frontal-mask,none,0.49,0.24,0.15,0.91,0.46,0.11,0.53,0.24,0.91,no,no,/Volumes/Extreme_Pro/LI_analysis/WG,0,45.4545,5,10000
"BAN05__WG_tstat1.nii,1",LI-frontal-mask,none,0.12,0.16,-0.043,0.46,0.061,0.068,0.17,-0.03,0.42,no,no,/Volumes/Extreme_Pro/LI_analysis/WG,0,83.3333,5,10000
"BAN06__WG_tstat1.nii,1",LI-frontal-mask,none,0.3,0.18,0.076,0.65,0.27,0.11,0.34,0.11,0.62,no,no,/Volumes/Extreme_Pro/LI_analysis/WG,0,25,5,10000
"BAN07__WG_tstat1.nii,1",LI-frontal-mask,none,0.38,0.2,0.13,0.81,0.35,0.09,0.42,0.17,0.8,no,no,/Volumes/Extreme_Pro/LI_analysis/WG,0,50,5,10000
"BAN08__WG_tstat1.nii,1",LI-frontal-mask,none,0.41,0.23,0.12,0.86,0.36,0.094,0.45,0.2,0.85,no,no,/Volumes/Extreme_Pro/LI_analysis/WG,0,62.5,5,10000
"BAN09__WG_tstat1.nii,1",LI-frontal-mask,none,0.56,0.21,0.28,0.92,0.54,0.12,0.55,0.31,0.91,no,no,/Volumes/Extreme_Pro/LI_analysis/WG,0,25,5,10000
"BAN10__WG_tstat1.nii,1",LI-frontal-mask,none,0.28,0.071,0.12,0.44,0.28,0.029,0.26,0.21,0.4,no,no,/Volumes/Extreme_Pro/LI_analysis/WG,0,27.7778,5,10000
"BAN11__WG_tstat1.nii,1",LI-frontal-mask,none,0.62,0.23,0.23,0.93,0.64,0.12,0.65,0.31,0.93,no,no,/Volumes/Extreme_Pro/LI_analysis/WG,0,83.3333,5,10000
"BAN12__WG_tstat1.nii,1",LI-frontal-mask,none,0.51,0.22,0.18,0.8,0.53,0.14,0.53,0.26,0.79,no,no,/Volumes/Extreme_Pro/LI_analysis/WG,0,100,5,10000
"BAN13__WG_tstat1.nii,1",LI-frontal-mask,none,0.54,0.24,0.21,0.93,0.51,0.14,0.55,0.24,0.92,no,no,/Volumes/Extreme_Pro/LI_analysis/WG,0,55.5556,5,10000
"BAN14__WG_tstat1.nii,1",LI-frontal-mask,none,0.39,0.24,0.096,0.85,0.35,0.13,0.45,0.13,0.84,no,no,/Volumes/Extreme_Pro/LI_analysis/WG,0,25,5,10000
"BAN15__WG_tstat1.nii,1",LI-frontal-mask,none,0.66,0.18,0.4,0.95,0.65,0.11,0.64,0.48,0.94,no,no,/Volumes/Extreme_Pro/LI_analysis/WG,0,25,5,10000
"BAN16__WG_tstat1.nii,1",LI-frontal-mask,none,0.064,0.17,-0.13,0.54,0.029,0.044,0.086,-0.11,0.52,no,no,/Volumes/Extreme_Pro/LI_analysis/WG,0,100,5,10000
"BAN17__WG_tstat1.nii,1",LI-frontal-mask,none,0.58,0.19,0.31,0.9,0.57,0.11,0.57,0.34,0.9,no,no,/Volumes/Extreme_Pro/LI_analysis/WG,0,62.5,5,10000
"BAN18__WG_tstat1.nii,1",LI-frontal-mask,none,0.28,0.19,0.11,0.85,0.21,0.0059,0.3,0.12,0.84,no,no,/Volumes/Extreme_Pro/LI_analysis/WG,0,35.7143,5,10000
"BAN19__WG_tstat1.nii,1",LI-frontal-mask,none,0.51,0.25,0.19,0.94,0.47,0.14,0.52,0.23,0.94,no,no,/Volumes/Extreme_Pro/LI_analysis/WG,0,25,5,10000
"BAN21__WG_tstat1.nii,1",LI-frontal-mask,none,0.28,0.06,0.16,0.45,0.27,0.026,0.26,0.18,0.41,no,no,/Volumes/Extreme_Pro/LI_analysis/WG,0,55.5556,5,10000
"BAN22__WG_tstat1.nii,1",LI-frontal-mask,none,0.31,0.33,-0.02,0.89,0.22,0.2,0.42,0.004,0.88,no,no,/Volumes/Extreme_Pro/LI_analysis/WG,0,71.4286,5,10000
"BAN23__WG_tstat1.nii,1",LI-frontal-mask,none,-0.3,0.25,-0.79,-0.034,-0.23,0.11,-0.39,-0.78,-0.08,no,no,/Volumes/Extreme_Pro/LI_analysis/WG,0,83.3333,5,10000
"BAN24__WG_tstat1.nii,1",LI-frontal-mask,none,0.67,0.24,0.32,0.99,0.67,0.14,0.67,0.41,0.99,no,no,/Volumes/Extreme_Pro/LI_analysis/WG,0,41.6667,5,10000
"OXF01__WG_tstat1.nii,1",LI-frontal-mask,none,0.56,0.21,0.056,0.79,0.6,0.1,0.45,0.071,0.76,no,no,/Volumes/Extreme_Pro/LI_analysis/WG,0,50,5,10000
"OXF02__WG_tstat1.nii,1",LI-frontal-mask,none,-0.32,0.27,-0.88,-0.014,-0.25,0.14,-0.42,-0.88,-0.083,no,no,/Volumes/Extreme_Pro/LI_analysis/WG,0,100,5,10000
"OXF03__WG_tstat1.nii,1",LI-frontal-mask,none,0.67,0.22,0.31,0.96,0.71,0.13,0.66,0.44,0.96,no,no,/Volumes/Extreme_Pro/LI_analysis/WG,0,50,5,10000
"OXF04__WG_tstat1.nii,1",LI-frontal-mask,none,0.43,0.21,0.12,0.78,0.41,0.1,0.46,0.21,0.75,no,no,/Volumes/Extreme_Pro/LI_analysis/WG,0,55.5556,5,10000
"OXF05__WG_tstat1.nii,1",LI-frontal-mask,none,0.83,0.14,0.54,0.96,0.87,0.072,0.74,0.69,0.96,no,no,/Volumes/Extreme_Pro/LI_analysis/WG,0,100,5,10000
"OXF06__WG_tstat1.nii,1",LI-frontal-mask,none,0.63,0.15,0.37,0.91,0.64,0.068,0.59,0.47,0.9,no,no,/Volumes/Extreme_Pro/LI_analysis/WG,0,50,5,10000
"OXF07__WG_tstat1.nii,1",LI-frontal-mask,none,0.6,0.25,0.22,0.97,0.61,0.14,0.62,0.33,0.97,no,no,/Volumes/Extreme_Pro/LI_analysis/WG,0,25,5,10000
"OXF08__WG_tstat1.nii,1",LI-frontal-mask,none,0.092,0.15,-0.0023,0.55,0.042,0.0094,0.12,0.0018,0.54,no,no,/Volumes/Extreme_Pro/LI_analysis/WG,0,33.3333,5,10000
"OXF09__WG_tstat1.nii,1",LI-frontal-mask,none,0.58,0.24,0.25,0.94,0.57,0.16,0.6,0.32,0.94,no,no,/Volumes/Extreme_Pro/LI_analysis/WG,0,25,5,10000
"OXF10__WG_tstat1.nii,1",LI-frontal-mask,none,0.26,0.17,0.05,0.7,0.23,0.071,0.3,0.099,0.67,no,no,/Volumes/Extreme_Pro/LI_analysis/WG,0,25,5,10000
"OXF11__WG_tstat1.nii,1",LI-frontal-mask,none,0.71,0.17,0.41,0.95,0.74,0.083,0.66,0.46,0.94,no,no,/Volumes/Extreme_Pro/LI_analysis/WG,0,25,5,10000
"OXF12__WG_tstat1.nii,1",LI-frontal-mask,none,0.34,0.27,-0.016,0.82,0.3,0.15,0.42,0.031,0.8,no,no,/Volumes/Extreme_Pro/LI_analysis/WG,0,29.4118,5,10000
"OXF13__WG_tstat1.nii,1",LI-frontal-mask,none,0.5,0.2,0.16,0.73,0.55,0.13,0.51,0.27,0.7,no,no,/Volumes/Extreme_Pro/LI_analysis/WG,0,41.6667,5,10000
"OXF14__WG_tstat1.nii,1",LI-frontal-mask,none,-0.2,0.28,-0.74,0.096,-0.12,0.15,-0.29,-0.73,0.07,no,no,/Volumes/Extreme_Pro/LI_analysis/WG,0,83.3333,5,10000
"OXF15__WG_tstat1.nii,1",LI-frontal-mask,none,0.37,0.24,0.083,0.86,0.31,0.11,0.42,0.13,0.85,no,no,/Volumes/Extreme_Pro/LI_analysis/WG,0,45.4545,5,10000
"OXF16__WG_tstat1.nii,1",LI-frontal-mask,none,0.91,0.08,0.7,0.98,0.93,0.032,0.78,0.84,0.98,no,no,/Volumes/Extreme_Pro/LI_analysis/WG,0,100,5,10000
"OXF17__WG_tstat1.nii,1",LI-frontal-mask,none,0.28,0.24,-0.039,0.67,0.26,0.15,0.35,0.036,0.65,no,no,/Volumes/Extreme_Pro/LI_analysis/WG,0,55.5556,5,10000
"OXF18__WG_tstat1.nii,1",LI-frontal-mask,none,0.36,0.19,0.11,0.74,0.34,0.11,0.4,0.16,0.72,no,no,/Volumes/Extreme_Pro/LI_analysis/WG,0,29.4118,5,10000
"OXF19__WG_tstat1.nii,1",LI-frontal-mask,none,0.76,0.13,0.48,0.89,0.8,0.052,0.68,0.65,0.87,no,no,/Volumes/Extreme_Pro/LI_analysis/WG,0,83.3333,5,10000
"OXF20__WG_tstat1.nii,1",LI-frontal-mask,none,0.64,0.16,0.33,0.85,0.65,0.086,0.54,0.48,0.82,no,no,/Volumes/Extreme_Pro/LI_analysis/WG,0,50,5,10000
"OXF21__WG_tstat1.nii,1",LI-frontal-mask,none,0.51,0.25,0.16,0.94,0.49,0.14,0.58,0.22,0.93,no,no,/Volumes/Extreme_Pro/LI_analysis/WG,0,26.3158,5,10000
"OXF22__WG_tstat1.nii,1",LI-frontal-mask,none,0.54,0.2,0.22,0.81,0.57,0.13,0.54,0.31,0.79,no,no,/Volumes/Extreme_Pro/LI_analysis/WG,0,50,5,10000
"OXF23__WG_tstat1.nii,1",LI-frontal-mask,none,0.27,0.14,0.031,0.51,0.28,0.072,0.28,0.12,0.48,no,no,/Volumes/Extreme_Pro/LI_analysis/WG,0,45.4545,5,10000
"OXF24__WG_tstat1.nii,1",LI-frontal-mask,none,0.52,0.28,0.11,0.91,0.52,0.18,0.57,0.22,0.9,no,no,/Volumes/Extreme_Pro/LI_analysis/WG,0,29.4118,5,10000
"OXF25__WG_tstat1.nii,1",LI-frontal-mask,none,0.15,0.12,-0.0035,0.54,0.12,0.02,0.18,0.029,0.5,no,no,/Volumes/Extreme_Pro/LI_analysis/WG,0,31.25,5,10000
"OXF26__WG_tstat1.nii,1",LI-frontal-mask,none,-0.25,0.17,-0.52,-0.045,-0.23,0.12,-0.29,-0.51,-0.11,no,no,/Volumes/Extreme_Pro/LI_analysis/WG,0,31.25,5,10000
"OXF27__WG_tstat1.nii,1",LI-frontal-mask,none,0.57,0.27,0.18,0.95,0.58,0.17,0.63,0.21,0.95,no,no,/Volumes/Extreme_Pro/LI_analysis/WG,0,100,5,10000
"BAN01_SG_tstat1.nii,1",LI-frontal-mask,none,0.12,0.12,-0.29,0.25,0.15,0.018,0.094,-0.28,0.21,no,no,/Volumes/Extreme_Pro/LI_analysis/SG,0,27.7778,5,10000
"BAN02_SG_tstat1.nii,1",LI-frontal-mask,none,-0.57,0.22,-0.87,-0.25,-0.59,0.14,-0.58,-0.87,-0.35,no,no,/Volumes/Extreme_Pro/LI_analysis/SG,0,25,5,10000
"BAN03_SG_tstat1.nii,1",LI-frontal-mask,none,0.52,0.28,0.13,0.89,0.51,0.21,0.57,0.19,0.88,no,no,/Volumes/Extreme_Pro/LI_analysis/SG,0,83.3333,5,10000
"BAN04_SG_tstat1.nii,1",LI-frontal-mask,none,0.6,0.26,0.25,0.97,0.58,0.16,0.62,0.32,0.96,no,no,/Volumes/Extreme_Pro/LI_analysis/SG,0,62.5,5,10000
"BAN05_SG_tstat1.nii,1",LI-frontal-mask,none,0.29,0.26,0.1,0.91,0.17,0.073,0.35,0.12,0.9,no,no,/Volumes/Extreme_Pro/LI_analysis/SG,0,38.4615,5,10000
"BAN06_SG_tstat1.nii,1",LI-frontal-mask,none,0.2,0.18,0.013,0.61,0.15,0.084,0.25,0.032,0.58,no,no,/Volumes/Extreme_Pro/LI_analysis/SG,0,29.4118,5,10000
"BAN07_SG_tstat1.nii,1",LI-frontal-mask,none,0.46,0.27,0.11,0.89,0.44,0.17,0.53,0.16,0.88,no,no,/Volumes/Extreme_Pro/LI_analysis/SG,0,26.3158,5,10000
"BAN08_SG_tstat1.nii,1",LI-frontal-mask,none,0.23,0.13,0.033,0.46,0.22,0.075,0.23,0.069,0.41,no,no,/Volumes/Extreme_Pro/LI_analysis/SG,0,100,5,10000
"BAN09_SG_tstat1.nii,1",LI-frontal-mask,none,0.65,0.26,0.23,0.97,0.68,0.16,0.67,0.38,0.97,no,no,/Volumes/Extreme_Pro/LI_analysis/SG,0,100,5,10000
"BAN10_SG_tstat1.nii,1",LI-frontal-mask,none,0.25,0.22,-0.3,0.52,0.27,0.085,0.16,-0.28,0.48,no,no,/Volumes/Extreme_Pro/LI_analysis/SG,0,41.6667,5,10000
"BAN11_SG_tstat1.nii,1",LI-frontal-mask,none,0.63,0.19,0.32,0.92,0.65,0.094,0.6,0.37,0.91,no,no,/Volumes/Extreme_Pro/LI_analysis/SG,0,25,5,10000
"BAN12_SG_tstat1.nii,1",LI-frontal-mask,none,0.74,0.2,0.34,0.93,0.81,0.11,0.68,0.42,0.91,no,no,/Volumes/Extreme_Pro/LI_analysis/SG,0,55.5556,5,10000
"BAN13_SG_tstat1.nii,1",LI-frontal-mask,none,0.72,0.22,0.33,0.97,0.76,0.13,0.7,0.49,0.96,no,no,/Volumes/Extreme_Pro/LI_analysis/SG,0,35.7143,5,10000
"BAN14_SG_tstat1.nii,1",LI-frontal-mask,none,0.61,0.21,0.33,0.96,0.59,0.12,0.6,0.36,0.95,no,no,/Volumes/Extreme_Pro/LI_analysis/SG,0,25,5,10000
"BAN15_SG_tstat1.nii,1",LI-frontal-mask,none,0.66,0.25,0.31,0.98,0.66,0.17,0.65,0.34,0.97,no,no,/Volumes/Extreme_Pro/LI_analysis/SG,0,50,5,10000
"BAN16_SG_tstat1.nii,1",LI-frontal-mask,none,0.0039,0.067,-0.24,0.08,0.02,0.014,-0.022,-0.23,0.037,no,no,/Volumes/Extreme_Pro/LI_analysis/SG,0,26.3158,5,10000
"BAN17_SG_tstat1.nii,1",LI-frontal-mask,none,0.57,0.25,0.19,0.96,0.56,0.15,0.59,0.29,0.96,no,no,/Volumes/Extreme_Pro/LI_analysis/SG,0,71.4286,5,10000
"BAN18_SG_tstat1.nii,1",LI-frontal-mask,none,0.17,0.12,0.03,0.56,0.14,0.0065,0.17,0.037,0.53,no,no,/Volumes/Extreme_Pro/LI_analysis/SG,0,25,5,10000
"BAN19_SG_tstat1.nii,1",LI-frontal-mask,none,0.47,0.33,0.05,0.95,0.44,0.21,0.54,0.084,0.95,no,no,/Volumes/Extreme_Pro/LI_analysis/SG,0,25,5,10000
"BAN21_SG_tstat1.nii,1",LI-frontal-mask,none,0.32,0.26,-0.38,0.71,0.33,0.11,0.29,-0.38,0.66,no,no,/Volumes/Extreme_Pro/LI_analysis/SG,0,71.4286,5,10000
"BAN22_SG_tstat1.nii,1",LI-frontal-mask,none,0.76,0.11,0.56,0.91,0.77,0.069,0.72,0.62,0.91,no,no,/Volumes/Extreme_Pro/LI_analysis/SG,0,55.5556,5,10000
"BAN23_SG_tstat1.nii,1",LI-frontal-mask,none,-0.34,0.21,-0.77,-0.083,-0.3,0.097,-0.37,-0.76,-0.14,no,no,/Volumes/Extreme_Pro/LI_analysis/SG,0,55.5556,5,10000
"BAN24_SG_tstat1.nii,1",LI-frontal-mask,none,0.66,0.15,0.37,0.88,0.69,0.066,0.65,0.45,0.87,no,no,/Volumes/Extreme_Pro/LI_analysis/SG,0,35.7143,5,10000
"OXF01__SG_tstat1.nii,1",LI-frontal-mask,none,0.69,0.16,0.35,0.84,0.74,0.078,0.64,0.54,0.83,no,no,/Volumes/Extreme_Pro/LI_analysis/SG,0,71.4286,5,10000
"OXF02__SG_tstat1.nii,1",LI-frontal-mask,none,0.43,0.28,0.083,0.89,0.38,0.16,0.5,0.14,0.88,no,no,/Volumes/Extreme_Pro/LI_analysis/SG,0,35.7143,5,10000
"OXF03__SG_tstat1.nii,1",LI-frontal-mask,none,0.42,0.25,0.085,0.8,0.4,0.15,0.47,0.16,0.78,no,no,/Volumes/Extreme_Pro/LI_analysis/SG,0,41.6667,5,10000
"OXF04__SG_tstat1.nii,1",LI-frontal-mask,none,0.25,0.2,-0.016,0.61,0.23,0.12,0.31,0.027,0.58,no,no,/Volumes/Extreme_Pro/LI_analysis/SG,0,50,5,10000
"OXF05__SG_tstat1.nii,1",LI-frontal-mask,none,0.54,0.27,0.23,0.97,0.49,0.16,0.58,0.27,0.97,no,no,/Volumes/Extreme_Pro/LI_analysis/SG,0,41.6667,5,10000
"OXF06__SG_tstat1.nii,1",LI-frontal-mask,none,0.69,0.14,0.39,0.82,0.74,0.053,0.61,0.59,0.8,no,no,/Volumes/Extreme_Pro/LI_analysis/SG,0,25,5,10000
"OXF07__SG_tstat1.nii,1",LI-frontal-mask,none,0.45,0.28,0.097,0.93,0.41,0.15,0.52,0.17,0.92,no,no,/Volumes/Extreme_Pro/LI_analysis/SG,0,83.3333,5,10000
"OXF08__SG_tstat1.nii,1",LI-frontal-mask,none,-0.021,0.23,-0.63,0.14,0.086,0.038,-0.11,-0.62,0.11,no,no,/Volumes/Extreme_Pro/LI_analysis/SG,0,50,5,10000
"OXF09__SG_tstat1.nii,1",LI-frontal-mask,none,0.58,0.21,0.26,0.92,0.58,0.11,0.59,0.39,0.92,no,no,/Volumes/Extreme_Pro/LI_analysis/SG,0,33.3333,5,10000
"OXF10__SG_tstat1.nii,1",LI-frontal-mask,none,0.28,0.19,0.048,0.73,0.25,0.083,0.33,0.092,0.72,no,no,/Volumes/Extreme_Pro/LI_analysis/SG,0,83.3333,5,10000
"OXF11__SG_tstat1.nii,1",LI-frontal-mask,none,0.94,0.047,0.85,0.99,0.95,0.026,0.76,0.88,0.99,no,no,/Volumes/Extreme_Pro/LI_analysis/SG,0,100,5,10000
"OXF12__SG_tstat1.nii,1",LI-frontal-mask,none,0.63,0.27,0.21,0.97,0.65,0.17,0.66,0.36,0.97,no,no,/Volumes/Extreme_Pro/LI_analysis/SG,0,55.5556,5,10000
"OXF13__SG_tstat1.nii,1",LI-frontal-mask,none,0.74,0.18,0.41,0.94,0.78,0.11,0.7,0.55,0.93,no,no,/Volumes/Extreme_Pro/LI_analysis/SG,0,83.3333,5,10000
"OXF14__SG_tstat1.nii,1",LI-frontal-mask,none,-0.15,0.18,-0.51,0.032,-0.092,0.09,-0.21,-0.51,0.0035,no,no,/Volumes/Extreme_Pro/LI_analysis/SG,0,25,5,10000
"OXF15__SG_tstat1.nii,1",LI-frontal-mask,none,0.44,0.27,0.099,0.92,0.4,0.15,0.49,0.15,0.92,no,no,/Volumes/Extreme_Pro/LI_analysis/SG,0,38.4615,5,10000
"OXF16__SG_tstat1.nii,1",LI-frontal-mask,none,0.67,0.22,0.33,0.97,0.68,0.14,0.65,0.37,0.97,no,no,/Volumes/Extreme_Pro/LI_analysis/SG,0,71.4286,5,10000
"OXF17__SG_tstat1.nii,1",LI-frontal-mask,none,0.45,0.25,0.12,0.92,0.4,0.12,0.49,0.21,0.92,no,no,/Volumes/Extreme_Pro/LI_analysis/SG,0,71.4286,5,10000
"OXF18__SG_tstat1.nii,1",LI-frontal-mask,none,0.58,0.28,0.19,0.97,0.57,0.18,0.62,0.27,0.97,no,no,/Volumes/Extreme_Pro/LI_analysis/SG,0,71.4286,5,10000
"OXF19__SG_tstat1.nii,1",LI-frontal-mask,none,0.6,0.23,0.22,0.87,0.64,0.15,0.61,0.34,0.86,no,no,/Volumes/Extreme_Pro/LI_analysis/SG,0,71.4286,5,10000
"OXF20__SG_tstat1.nii,1",LI-frontal-mask,none,0.72,0.18,0.35,0.9,0.76,0.075,0.64,0.63,0.89,no,no,/Volumes/Extreme_Pro/LI_analysis/SG,0,55.5556,5,10000
"OXF21__SG_tstat1.nii,1",LI-frontal-mask,none,0.55,0.29,0.14,0.98,0.54,0.15,0.61,0.21,0.98,no,no,/Volumes/Extreme_Pro/LI_analysis/SG,0,100,5,10000
"OXF22__SG_tstat1.nii,1",LI-frontal-mask,none,0.47,0.15,0.2,0.68,0.49,0.084,0.46,0.3,0.66,no,no,/Volumes/Extreme_Pro/LI_analysis/SG,0,25,5,10000
"OXF23__SG_tstat1.nii,1",LI-frontal-mask,none,0.31,0.15,0.067,0.62,0.29,0.064,0.33,0.16,0.59,no,no,/Volumes/Extreme_Pro/LI_analysis/SG,0,25,5,10000
"OXF24__SG_tstat1.nii,1",LI-frontal-mask,none,0.38,0.29,0.06,0.92,0.32,0.17,0.47,0.085,0.92,no,no,/Volumes/Extreme_Pro/LI_analysis/SG,0,71.4286,5,10000
"OXF25__SG_tstat1.nii,1",LI-frontal-mask,none,0.46,0.28,0.11,0.93,0.42,0.17,0.52,0.17,0.92,no,no,/Volumes/Extreme_Pro/LI_analysis/SG,0,25,5,10000
"OXF26__SG_tstat1.nii,1",LI-frontal-mask,none,0.19,0.15,-0.11,0.37,0.23,0.062,0.13,-0.097,0.34,no,no,/Volumes/Extreme_Pro/LI_analysis/SG,0,27.7778,5,10000
"OXF27__SG_tstat1.nii,1",LI-frontal-mask,none,0.69,0.22,0.35,0.99,0.69,0.14,0.66,0.4,0.99,no,no,/Volumes/Extreme_Pro/LI_analysis/SG,0,100,5,10000
"BAN01_PD_tstat1.nii,1",LI-frontal-mask,none,0.084,0.16,-0.067,0.47,0.022,0.021,0.14,-0.049,0.42,no,no,/Volumes/Extreme_Pro/LI_analysis/PD,0,100,5,10000
"BAN02_PD_tstat1.nii,1",LI-frontal-mask,none,-0.35,0.15,-0.65,-0.11,-0.35,0.068,-0.37,-0.65,-0.23,no,no,/Volumes/Extreme_Pro/LI_analysis/PD,0,25,5,10000
"BAN03_PD_tstat1.nii,1",LI-frontal-mask,none,0.094,0.11,-0.28,0.24,0.11,0.018,0.067,-0.26,0.2,no,no,/Volumes/Extreme_Pro/LI_analysis/PD,0,50,5,10000
"BAN04_PD_tstat1.nii,1",LI-frontal-mask,none,0.3,0.22,0.034,0.85,0.25,0.036,0.36,0.1,0.85,no,no,/Volumes/Extreme_Pro/LI_analysis/PD,0,55.5556,5,10000
"BAN05_PD_tstat1.nii,1",LI-frontal-mask,none,0.29,0.16,-0.003,0.52,0.31,0.098,0.3,0.023,0.47,no,no,/Volumes/Extreme_Pro/LI_analysis/PD,0,25,5,10000
"BAN06_PD_tstat1.nii,1",LI-frontal-mask,none,-0.07,0.2,-0.63,0.13,0.0056,0.036,-0.14,-0.62,0.094,no,no,/Volumes/Extreme_Pro/LI_analysis/PD,0,38.4615,5,10000
"BAN07_PD_tstat1.nii,1",LI-frontal-mask,none,0.5,0.24,0.15,0.87,0.5,0.16,0.54,0.23,0.87,no,no,/Volumes/Extreme_Pro/LI_analysis/PD,0,83.3333,5,10000
"BAN08_PD_tstat1.nii,1",LI-frontal-mask,none,0.029,0.047,-0.083,0.15,0.02,0.017,0.031,-0.07,0.098,no,no,/Volumes/Extreme_Pro/LI_analysis/PD,0,71.4286,5,10000
"BAN09_PD_tstat1.nii,1",LI-frontal-mask,none,0.54,0.29,0.14,0.96,0.54,0.19,0.62,0.17,0.96,no,no,/Volumes/Extreme_Pro/LI_analysis/PD,0,55.5556,5,10000
"BAN10_PD_tstat1.nii,1",LI-frontal-mask,none,-0.36,0.12,-0.56,-0.15,-0.36,0.066,-0.32,-0.55,-0.22,no,no,/Volumes/Extreme_Pro/LI_analysis/PD,0,62.5,5,10000
"BAN11_PD_tstat1.nii,1",LI-frontal-mask,none,0.58,0.2,0.2,0.94,0.6,0.074,0.6,0.34,0.94,no,no,/Volumes/Extreme_Pro/LI_analysis/PD,0,100,5,10000
"BAN12_PD_tstat1.nii,1",LI-frontal-mask,none,0.16,0.1,-0.12,0.39,0.16,0.039,0.15,-0.11,0.35,no,no,/Volumes/Extreme_Pro/LI_analysis/PD,0,55.5556,5,10000
"BAN13_PD_tstat1.nii,1",LI-frontal-mask,none,0.22,0.28,-0.66,0.43,0.31,0.052,0.1,-0.65,0.39,no,no,/Volumes/Extreme_Pro/LI_analysis/PD,0,50,5,10000
"BAN14_PD_tstat1.nii,1",LI-frontal-mask,none,-0.072,0.048,-0.21,0.049,-0.059,0.013,-0.073,-0.2,-0.015,no,no,/Volumes/Extreme_Pro/LI_analysis/PD,0,25,5,10000
"BAN15_PD_tstat1.nii,1",LI-frontal-mask,none,0.63,0.25,0.27,0.96,0.64,0.17,0.66,0.35,0.96,no,no,/Volumes/Extreme_Pro/LI_analysis/PD,0,83.3333,5,10000
"BAN16_PD_tstat1.nii,1",LI-frontal-mask,none,0.064,0.17,-0.26,0.24,0.12,0.086,-0.026,-0.25,0.21,no,no,/Volumes/Extreme_Pro/LI_analysis/PD,0,35.7143,5,10000
"BAN17_PD_tstat1.nii,1",LI-frontal-mask,none,0.2,0.13,0.0043,0.47,0.19,0.059,0.24,0.032,0.44,no,no,/Volumes/Extreme_Pro/LI_analysis/PD,0,29.4118,5,10000
"BAN18_PD_tstat1.nii,1",LI-frontal-mask,none,-0.11,0.097,-0.46,0.042,-0.096,0.0076,-0.12,-0.46,-0.025,no,no,/Volumes/Extreme_Pro/LI_analysis/PD,0,50,5,10000
"BAN19_PD_tstat1.nii,1",LI-frontal-mask,none,0.16,0.15,0.011,0.6,0.11,0.066,0.2,0.037,0.56,no,no,/Volumes/Extreme_Pro/LI_analysis/PD,0,41.6667,5,10000
"BAN21_PD_tstat1.nii,1",LI-frontal-mask,none,0.022,0.35,-0.32,0.84,-0.078,0.18,0.19,-0.31,0.83,no,no,/Volumes/Extreme_Pro/LI_analysis/PD,0,45.4545,5,10000
"BAN22_PD_tstat1.nii,1",LI-frontal-mask,none,0.61,0.26,0.24,0.97,0.6,0.17,0.64,0.31,0.97,no,no,/Volumes/Extreme_Pro/LI_analysis/PD,0,83.3333,5,10000
"BAN23_PD_tstat1.nii,1",LI-frontal-mask,none,0.085,0.1,-0.031,0.34,0.043,0.027,0.11,-0.021,0.29,no,no,/Volumes/Extreme_Pro/LI_analysis/PD,0,41.6667,5,10000
"BAN24_PD_tstat1.nii,1",LI-frontal-mask,none,0.65,0.19,0.34,0.96,0.64,0.093,0.64,0.47,0.96,no,no,/Volumes/Extreme_Pro/LI_analysis/PD,0,38.4615,5,10000
"OXF01__PD_tstat1.nii,1",LI-frontal-mask,none,0.51,0.2,0.21,0.82,0.49,0.11,0.53,0.29,0.81,no,no,/Volumes/Extreme_Pro/LI_analysis/PD,0,35.7143,5,10000
"OXF02__PD_tstat1.nii,1",LI-frontal-mask,none,-0.19,0.11,-0.5,-0.056,-0.15,0.026,-0.21,-0.49,-0.13,no,no,/Volumes/Extreme_Pro/LI_analysis/PD,0,25,5,10000
"OXF03__PD_tstat1.nii,1",LI-frontal-mask,none,0.38,0.18,0.13,0.84,0.36,0.056,0.43,0.19,0.83,no,no,/Volumes/Extreme_Pro/LI_analysis/PD,0,25,5,10000
"OXF04__PD_tstat1.nii,1",LI-frontal-mask,none,-0.012,0.14,-0.13,0.49,-0.04,0.021,0.013,-0.12,0.46,no,no,/Volumes/Extreme_Pro/LI_analysis/PD,0,55.5556,5,10000
"OXF05__PD_tstat1.nii,1",LI-frontal-mask,none,0.48,0.23,0.21,0.87,0.42,0.13,0.54,0.25,0.86,no,no,/Volumes/Extreme_Pro/LI_analysis/PD,0,41.6667,5,10000
